Keyword,Expected,Algorithm Accuracy Result,Priority Number,Recommendation Accuracy Result
yok,yôk,0.80,4,0.70
yoh,yôh,0.80,3,0.80
weng,wéng,0.85,1,1.00
weh,wèh,0.80,3,0.80
wase,wasé,0.88,3,0.80
wareh,waréh,0.91,3,0.80
wajek,wajék,0.91,1,1.00
wajeb,wajéb,0.91,1,1.00
utom,utôm,0.87,2,0.90
utoh,utôh,0.87,1,1.00
usos,usôs,0.87,9,0.20
use,usé,0.82,4,0.70
urotan,urôtan,0.91,1,1.00
urosan,urôsan,0.91,1,1.00
urong,urông,0.89,1,1.00
seukreng,seukréng,0.96,2,0.90
uree,urèe,0.87,7,0.40
unyet,unyèt,0.91,1,1.00
untong,untông,0.92,1,1.00
unggoi,unggôi,0.93,1,1.00
uleh,uléh,0.87,1,1.00
ulee,ulèe,0.87,7,0.40
ukoran,ukôran,0.91,2,0.90
ukom,ukôm,0.87,1,1.00
uko,ukô,0.82,4,0.70
ukee,ukeè,0.88,4,0.70
uke,ukeè,0.94,1,1.00
ujop,ujôp,0.87,2,0.90
ujong,ujông,0.89,1,1.00
udep,udép,0.87,1,1.00
tutoong,tutôong,0.93,1,1.00
tuto,tutôong,0.90,4,0.70
turonan,turônan,0.93,1,1.00
turon-muron,turôn-murôn,0.92,1,1.00
tupee,tupée,0.91,3,0.80
tungkoi,tungkôi,0.95,1,1.00
tumpok,tumpôk,0.93,2,0.90
tumpoi,tumpôi,0.93,1,1.00
tumet,tumèt,0.91,2,0.90
tumon,tumôn,0.91,1,1.00
tulong,tulông,0.92,3,0.80
tuleh,tuléh,0.91,2,0.90
tuka-take,tuka-také,0.96,1,1.00
tujoh,tujôh,0.91,1,1.00
tujoan,tujôan,0.92,1,1.00
tudoh,tudôh,0.91,1,1.00
tuboh,tubôh,0.91,1,1.00
tubee,tubèe,0.91,2,0.90
tron,trôn,0.87,6,0.50
trompet,trompèt,0.95,1,1.00
troh,trôh,0.87,2,0.90
triplek,triplèk,0.95,1,1.00
trep,trép,0.87,2,0.90
tot,topèng,0.87,2,0.90
topeng,topèng,0.92,1,1.00
top,topèng,0.88,2,0.90
tong,topèng,0.91,2,0.90
titep,titèp,0.91,2,0.90
titel,titèl,0.91,1,1.00
titek,titék,0.91,2,0.90
tireh,tirèe,0.91,1,1.00
tiree,tirèe,0.91,3,0.80
tipoih,tipôih,0.92,1,1.00
tipee,tipèe,0.91,1,1.00
tiong,tiông,0.89,1,1.00
tinggong,tinggông,0.96,1,1.00
tilek,tilék,0.91,2,0.90
tikoh,tikôh,0.91,1,1.00
tiket,tikèt,0.91,1,1.00
tho,thô,0.82,1,1.00
teutop,teutôp,0.93,2,0.90
teurupong,teurupông,0.96,1,1.00
teurmometer,teurmomètèr,0.94,1,1.00
teureubeh,teureubéh,0.96,1,1.00
teupreh,teuprèh,0.95,1,1.00
teupong,teupông,0.94,2,0.90
teupileh,teupiléh,0.96,1,1.00
teupeulindong,teupeulindông,0.97,1,1.00
teunumpok,teunumpôk,0.96,1,1.00
teuntee,teuntèe,0.95,2,0.90
teunireh,teunirèe,0.96,1,1.00
teuniree,teunirèe,0.96,1,1.00
teuneuboh,teuneubôh,0.96,1,1.00
teunaroh,teunarôh,0.96,1,1.00
teumiree,teumirèe,0.96,1,1.00
teumipee,teumipèe,0.96,1,1.00
teumeutot,teumeutôt,0.96,1,1.00
teumbon,teumbôn,0.95,1,1.00
teumasok,teumasôk,0.96,2,0.90
teumakot,teumakôt,0.96,1,1.00
teulok,teulôk,0.93,2,0.90
teulhon,teulhôn,0.95,1,1.00
teuleubeh,teuleubèh,0.96,1,1.00
teukeseh,teukeséh,0.96,1,1.00
teukejot,teukejôt,0.96,1,1.00
teugok,teugôk,0.93,4,0.70
teugoh,teugôh,0.93,5,0.60
teugo,teugô,0.92,6,0.50
teuceuek,teuceuèk,0.96,1,1.00
teuboh,teubôh,0.93,1,1.00
Total Accuracy Results:,,91.34,,91.30
Total Percentage Accuracy:,,91.3%,,91.3%
